relation_id,n_rows,relation,n_updates,n_updated_pairs,n_recurring_pairs,mean_updates_per_pair,max_updates_per_pair,update_share,recurrence
P31,57150,instance of,37477,37036,440,1.0119073334053355,3,0.6557655293088364,0.011880332649314181
P407,23345,language of work or name,306,300,6,1.02,2,0.013107731848361533,0.02
P1412,22744,"languages spoken, written or signed",557,541,16,1.0295748613678373,2,0.0244899753781217,0.029574861367837338
P65,17363,site of astronomical discovery,16009,16009,0,1.0,1,0.9220180844324137,0.0
P131,17055,located in the administrative territorial entity,6915,6898,16,1.0024644824586837,3,0.405452946350044,0.002319512902290519
P17,16663,country,1324,1294,29,1.0231839258114375,3,0.07945748064574207,0.02241112828438949
P7959,12446,historic county,6,6,0,1.0,1,0.00048208259681825486,0.0
P27,11816,country of citizenship,3603,3555,47,1.0135021097046413,3,0.3049255247122546,0.013220815752461323
P19,11428,place of birth,3084,3023,58,1.0201786304995037,4,0.26986349317465874,0.01918623883559378
P5817,9761,state of use,157,155,2,1.0129032258064516,2,0.016084417580165968,0.012903225806451613
P361,9441,part of,402,397,5,1.012594458438287,2,0.04258023514458214,0.012594458438287154
P20,8924,place of death,1369,1354,15,1.0110782865583456,2,0.15340654415060512,0.011078286558345642
P9714,8724,taxon range,40,40,0,1.0,1,0.004585052728106373,0.0
P463,6629,member of,763,761,2,1.002628120893561,2,0.11510031678986272,0.002628120893561104
P7937,5596,form of creative work,120,120,0,1.0,1,0.021443888491779844,0.0
P279,5522,subclass of,1678,1669,9,1.0053924505692031,2,0.30387540746106484,0.005392450569203115
P1532,5502,country for sport,118,116,2,1.0172413793103448,2,0.021446746637586334,0.017241379310344827
P735,5192,given name,3497,3494,3,1.000858614768174,2,0.6735362095531587,0.0008586147681740126
P495,5176,country of origin,176,164,12,1.0731707317073171,2,0.03400309119010819,0.07317073170731707
P3592,5071,Saros cycle of eclipse,26,26,0,1.0,1,0.005127193847367383,0.0
P106,5015,occupation,1835,1820,15,1.0082417582417582,2,0.3659022931206381,0.008241758241758242
P2378,4993,issued by,3,3,0,1.0,1,0.0006008411776487082,0.0
P276,4943,location,340,339,1,1.0029498525073746,2,0.06878413918672871,0.0029498525073746312
P119,4910,place of burial,320,317,3,1.0094637223974763,2,0.06517311608961303,0.00946372239747634
P166,4593,award received,1437,1430,7,1.004895104895105,2,0.31286740692357934,0.0048951048951048955
P2868,4400,subject has role,154,154,0,1.0,1,0.035,0.0
P69,4190,educated at,538,532,6,1.0112781954887218,2,0.12840095465393794,0.011278195488721804
P103,4165,native language,284,261,23,1.0881226053639848,2,0.06818727490996399,0.08812260536398467
P291,4057,place of publication,24,24,0,1.0,1,0.005915701257086517,0.0
P123,3850,publisher,325,325,0,1.0,1,0.08441558441558442,0.0
P26,3195,spouse,195,188,6,1.0372340425531914,3,0.06103286384976526,0.031914893617021274
P136,3112,genre,523,517,6,1.011605415860735,2,0.1680591259640103,0.01160541586073501
P149,3023,architectural style,131,129,2,1.0155038759689923,2,0.04333443599073768,0.015503875968992248
